iter 1 | avg_loss 0.5180800000000001 | avg_accuracy 96.0203218460083
iter 2 | avg_loss 0.33311999999999997 | avg_accuracy 96.12001538276672
iter 3 | avg_loss 0.20334 | avg_accuracy 96.00018978118896
iter 4 | avg_loss 0.129 | avg_accuracy 95.92594861984253
iter 5 | avg_loss 0.09562000000000001 | avg_accuracy 95.96301674842834
iter 6 | avg_loss 0.07924 | avg_accuracy 95.9252417087555
iter 7 | avg_loss 0.0695 | avg_accuracy 95.8070957660675
iter 8 | avg_loss 0.06294000000000001 | avg_accuracy 95.83512663841248
iter 9 | avg_loss 0.05808 | avg_accuracy 95.76545000076294
iter 10 | avg_loss 0.05428000000000001 | avg_accuracy 95.74549674987793
iter 11 | avg_loss 0.05118 | avg_accuracy 95.73567748069763
iter 12 | avg_loss 0.0486 | avg_accuracy 95.74190855026245
iter 13 | avg_loss 0.04636 | avg_accuracy 95.78817129135132
iter 14 | avg_loss 0.04434 | avg_accuracy 95.80288767814636
iter 15 | avg_loss 0.042600000000000006 | avg_accuracy 95.8004379272461
iter 16 | avg_loss 0.04104 | avg_accuracy 95.8004379272461
iter 17 | avg_loss 0.03964 | avg_accuracy 95.73209047317505
iter 18 | avg_loss 0.038400000000000004 | avg_accuracy 95.7356059551239
iter 19 | avg_loss 0.037239999999999995 | avg_accuracy 95.70810556411743
iter 20 | avg_loss 0.03624 | avg_accuracy 95.72633743286133
iter 21 | avg_loss 0.03528 | avg_accuracy 95.71162104606628
iter 22 | avg_loss 0.034440000000000005 | avg_accuracy 95.70565462112427
iter 23 | avg_loss 0.03364 | avg_accuracy 95.70565462112427
iter 24 | avg_loss 0.0329 | avg_accuracy 95.67297220230103
iter 25 | avg_loss 0.03222 | avg_accuracy 95.69120407104492
iter 26 | avg_loss 0.03158 | avg_accuracy 95.69120407104492
iter 27 | avg_loss 0.031020000000000002 | avg_accuracy 95.67297220230103
iter 28 | avg_loss 0.030459999999999997 | avg_accuracy 95.65852046012878
iter 29 | avg_loss 0.02994 | avg_accuracy 95.67675232887268
iter 30 | avg_loss 0.029459999999999997 | avg_accuracy 95.66230177879333
iter 31 | avg_loss 0.02898 | avg_accuracy 95.68053245544434
iter 32 | avg_loss 0.028559999999999995 | avg_accuracy 95.69498300552368
iter 33 | avg_loss 0.028159999999999998 | avg_accuracy 95.69498300552368
iter 34 | avg_loss 0.02776 | avg_accuracy 95.66343784332275
iter 35 | avg_loss 0.027379999999999998 | avg_accuracy 95.62803864479065
iter 36 | avg_loss 0.02702 | avg_accuracy 95.6427550315857
iter 37 | avg_loss 0.026679549399999995 | avg_accuracy 95.59297800064087
