iter 1 | avg_loss 0.66394 | avg_accuracy 96.69002294540405
iter 2 | avg_loss 0.47606000000000004 | avg_accuracy 96.68797731399536
iter 3 | avg_loss 0.30490000000000006 | avg_accuracy 96.64535880088806
iter 4 | avg_loss 0.17187999999999998 | avg_accuracy 96.52723550796509
iter 5 | avg_loss 0.10318000000000001 | avg_accuracy 96.55386328697205
iter 6 | avg_loss 0.07772 | avg_accuracy 96.65790915489197
iter 7 | avg_loss 0.06652 | avg_accuracy 96.59859776496887
iter 8 | avg_loss 0.06002 | avg_accuracy 96.60562872886658
iter 9 | avg_loss 0.05554 | avg_accuracy 96.53025150299072
iter 10 | avg_loss 0.052140000000000006 | avg_accuracy 96.53025150299072
iter 11 | avg_loss 0.049319999999999996 | avg_accuracy 96.55252814292908
iter 12 | avg_loss 0.04698 | avg_accuracy 96.50653123855591
iter 13 | avg_loss 0.04494000000000001 | avg_accuracy 96.55068159103394
iter 14 | avg_loss 0.04324 | avg_accuracy 96.55691385269165
iter 15 | avg_loss 0.0417 | avg_accuracy 96.52151465415955
iter 16 | avg_loss 0.040359048800000005 | avg_accuracy 96.50328278541565
iter 17 | avg_loss 0.039137976 | avg_accuracy 96.50301575660706
iter 18 | avg_loss 0.0380370938 | avg_accuracy 96.47006869316101
iter 19 | avg_loss 0.0370562356 | avg_accuracy 96.46761655807495
iter 20 | avg_loss 0.036115496600000005 | avg_accuracy 96.45430326461792
iter 21 | avg_loss 0.035274853 | avg_accuracy 96.41916990280151
iter 22 | avg_loss 0.034514280800000005 | avg_accuracy 96.40445351600647
iter 23 | avg_loss 0.033793756200000004 | avg_accuracy 96.40445351600647
iter 24 | avg_loss 0.0331532794 | avg_accuracy 96.40445351600647
iter 25 | avg_loss 0.0325128026 | avg_accuracy 96.40445351600647
iter 26 | avg_loss 0.0319124212 | avg_accuracy 96.43388628959656
iter 27 | avg_loss 0.0314120398 | avg_accuracy 96.35634422302246
iter 28 | avg_loss 0.030891682200000003 | avg_accuracy 96.3174307346344
iter 29 | avg_loss 0.030411324599999994 | avg_accuracy 96.3174307346344
iter 30 | avg_loss 0.0299710384 | avg_accuracy 96.26660585403442
iter 31 | avg_loss 0.029570728600000002 | avg_accuracy 96.24592304229736
iter 32 | avg_loss 0.029150442399999997 | avg_accuracy 96.2252402305603
iter 33 | avg_loss 0.028790180200000005 | avg_accuracy 96.2252402305603
iter 34 | avg_loss 0.028429918 | avg_accuracy 96.2070083618164
iter 35 | avg_loss 0.0281097034 | avg_accuracy 96.17546200752258
iter 36 | avg_loss 0.027769465 | avg_accuracy 96.15451335906982
iter 37 | avg_loss 0.027489274200000004 | avg_accuracy 96.15451335906982
iter 38 | avg_loss 0.027169083600000005 | avg_accuracy 96.10825181007385
iter 39 | avg_loss 0.0269088928 | avg_accuracy 96.0938012599945
iter 40 | avg_loss 0.0266686782 | avg_accuracy 96.0938012599945
iter 41 | avg_loss 0.0263885114 | avg_accuracy 96.0938012599945
iter 42 | avg_loss 0.0261483684 | avg_accuracy 96.0938012599945
iter 43 | avg_loss 0.025908201400000004 | avg_accuracy 96.06111884117126
iter 44 | avg_loss 0.0256880346 | avg_accuracy 96.06111884117126
iter 45 | avg_loss 0.0254878914 | avg_accuracy 96.06111884117126
iter 46 | avg_loss 0.0252677484 | avg_accuracy 96.06111884117126
iter 47 | avg_loss 0.025067605400000005 | avg_accuracy 96.06111884117126
iter 48 | avg_loss 0.0248674862 | avg_accuracy 96.04666829109192
iter 49 | avg_loss 0.024707367 | avg_accuracy 96.03195190429688
iter 50 | avg_loss 0.0245072478 | avg_accuracy 96.01126909255981
iter 51 | avg_loss 0.0243471048 | avg_accuracy 96.01126909255981
iter 52 | avg_loss 0.0241869856 | avg_accuracy 96.01126909255981
iter 53 | avg_loss 0.0240268902 | avg_accuracy 95.99303722381592
iter 54 | avg_loss 0.023846771 | avg_accuracy 95.97235441207886
iter 55 | avg_loss 0.023706675599999998 | avg_accuracy 95.9870707988739
iter 56 | avg_loss 0.023566603999999998 | avg_accuracy 95.97262024879456
iter 57 | avg_loss 0.0234264848 | avg_accuracy 95.97262024879456
iter 58 | avg_loss 0.023266365599999998 | avg_accuracy 95.97262024879456
iter 59 | avg_loss 0.0231262704 | avg_accuracy 95.95438838005066
iter 60 | avg_loss 0.0230061988 | avg_accuracy 95.96035480499268
iter 61 | avg_loss 0.0228861272 | avg_accuracy 95.94590425491333
iter 62 | avg_loss 0.022766031799999996 | avg_accuracy 95.94590425491333
iter 63 | avg_loss 0.0226259604 | avg_accuracy 95.94590425491333
iter 64 | avg_loss 0.022505865000000003 | avg_accuracy 95.94590425491333
iter 65 | avg_loss 0.022405793400000002 | avg_accuracy 95.92767238616943
iter 66 | avg_loss 0.022305722000000004 | avg_accuracy 95.92767238616943
iter 67 | avg_loss 0.0222056504 | avg_accuracy 95.90698957443237
iter 68 | avg_loss 0.022085555 | avg_accuracy 95.90698957443237
iter 69 | avg_loss 0.021965459799999996 | avg_accuracy 95.92522144317627
iter 70 | avg_loss 0.021865412 | avg_accuracy 95.92522144317627
iter 71 | avg_loss 0.0217453644 | avg_accuracy 95.91076970100403
iter 72 | avg_loss 0.021665269000000004 | avg_accuracy 95.91076970100403
iter 73 | avg_loss 0.0215652212 | avg_accuracy 95.93145251274109
